unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,pickup_location,dropoff_latitude,dropoff_longitude,dropoff_location
00072781e643fd94d19bb28ce130604e4f2db3ec,0a93e246fb9b99a3be61ca72d6e9ca02ca57fd26fa38ac419f3e7a745f9e9a401de7e1f0df7d02266dd45af50670ef873829afff1e5e06e0f8b95ea0eda990ff,2016-08-17 21:00:00 UTC,2016-08-17 21:00:00 UTC,13,11.39,17031807700,17031807700,,,3.25,0,0,0,3.25,Cash,Yellow Cab,,,,,,
00073f4c6c9b4c237b1e936d17bb711dfa0b6a97,ec73aeaa166a9fabcd546bd176e75ee589e58653db8b0c7e4683638e44670eb3fbc6ef9ac1a86790e13ffb5853ffff211391bef7f5dd8bf3422b4afa93640f06,2019-03-18 17:45:00 UTC,2019-03-18 18:45:00 UTC,3185,29.69,,,76,24,42.75,9.45,0,4,56.7,Credit Card,Chicago Carriage Cab Corp,41.980.264.315,-87.913.624.596,POINT (-87.913624596 41.9802643146),41.901.206.994,-87.676.355.989,POINT (-87.6763559892 41.90120699410001)
0008a6d1250f6c23862d13b9d3fe947159652e24,51620bbd9c2f977b8abcf5537e65f0fa24af77d00fb3c2098f74ddeee542a66a68c399fb90fc603ea460717939ba5f80031ddb02188e4a22a63fa5bcbf7b71bf,2013-05-17 09:30:00 UTC,2013-05-17 09:45:00 UTC,840,23.83,,,8,6,12.45,0,0,1,13.45,Cash,Dispatch Taxi Affiliation,41.899.602.111,-87.633.308.037,POINT (-87.6333080367 41.899602111),41.944.226.601,-87.655.998.182,POINT (-87.6559981815 41.9442266014)
000fa41b1c692b6cc2f9b9b5e3765c08f64d28be,1626f97f0f9d0b836ff89cc85c91115b3450ea6e6db6b822d4ad8d4b4fbd30490995fa6108bcca346fbecc0c3945452c424672f92d1a24fca5c04f901b8803bb,2014-04-26 21:00:00 UTC,2014-04-26 21:30:00 UTC,2160,28.84,17031320100,17031411000,32,41,31.85,0,0,0,31.85,Cash,Top Cab Affiliation,41.884.987.192,-87.620.992.913,POINT (-87.6209929134 41.8849871918),41.790.506.261,-87.583.143.717,POINT (-87.5831437169 41.7905062613)
00105ef7f0b8d6c2dfce7b0a454376440100c787,888ae68d70813efa2665c4293ed0a5b5f82cdd3ed4b7041c447123e81ace67a6602e42b81b0f080f1f88a6c5ad8db7f666e6b44141022b85a61309b57c3a060a,2013-12-11 22:30:00 UTC,2013-12-11 22:45:00 UTC,660,21.92,17031081600,17031081403,8,8,8.44,0,0,1,9.44,Cash,Blue Ribbon Taxi Association Inc.,41.892.072.635,-87.628.874.157,POINT (-87.6288741572 41.8920726347),41.890.922.026,-87.618.868.355,POINT (-87.6188683546 41.8909220259)
0014c628fb4dc2b7987996bb5fe378c93ef9d0e6,9a38858dc2ace73a20f89a976154131a733daf1f11e8d650183b2cc919ea375e5249e7170e372cf0b37be52292769416570481f474f81fd7b980fceb18846a73,2014-04-15 08:15:00 UTC,2014-04-15 08:30:00 UTC,360,16.32,17031241600,17031081800,24,8,7.45,2,0,0,9.45,Credit Card,Northwest Management LLC,41.906.650.766,-8.766.533.766,POINT (-87.6653376596 41.9066507664),4.189.321.636,-8.763.784.421,POINT (-87.6378442095 41.8932163595)
0018993d245880d5299c3a96d9793dc2605dab4d,c3583153718e0d27b0b567c8f62d79a32f616fb4969d00c6564a187a9298058ebabfcdc893f3680469a800300d2bf15cecf6f0deaa472856bb9668965658fa81,2019-11-10 12:00:00 UTC,2019-11-10 12:15:00 UTC,1462,27.4,,,76,,46,0,0,6,52,Cash,Sun Taxi,41.980.264.315,-87.913.624.596,POINT (-87.913624596 41.9802643146),,,
00195f15fd44a9b45520d400865fdcf575da37aa,1b0a05f16ca6759e00f934c5b39e93939b52bb1e28c114544c3c86021cd7018946bd6d40a1d26eb65b25f05f507e3034a54977fef773ed980f3ef57b881f7a52,2014-04-30 16:00:00 UTC,2014-04-30 16:00:00 UTC,300,14.52,,,32,32,5.25,0,0,0,5.25,Cash,Taxi Affiliation Services,41.878.865.584,-87.625.192.142,POINT (-87.6251921424 41.8788655841),41.878.865.584,-87.625.192.142,POINT (-87.6251921424 41.8788655841)
001ad3c96002117c11a623702c58e54b4b4fb92d,6b2e4002ec8dde7f10daa5babb2cbeebf8847f38d5cf0d4fc16e7a8248a2cfe9c0ceee6883f7f699a03df374c0541bf7d02b491fb913c82b3887ed23b1aa54bc,2016-10-28 09:00:00 UTC,2016-10-28 09:15:00 UTC,1200,26.44,17031081201,17031280100,8,28,11.75,0,0,1,12.75,Cash,24 Seven Taxi,41.899.155.613,-87.626.210.532,POINT (-87.6262105324 41.8991556134),41.885.300.022,-87.642.808.466,POINT (-87.6428084655 41.8853000224)
001d8e6efd4c442822ea9d1425964bd71b88d3cf,0375f8101191d4db38fcffde0efa93f872ce9b58bafa08b1885bdf40c51bfb64b7022803b747267a3336df85af628f375603672f294fac5004c4f34ec7d34595,2015-08-30 01:45:00 UTC,2015-08-30 01:45:00 UTC,13,10.5,,,,,36.45,5.47,0,0,41.92,Credit Card,Suburban Dispatch LLC,,,,,,
